model	case	checks	wall_s	prompt_tok	gen_tok	gen_tps	thinking_chars	done	resident_gb	pct_gpu	ctx	error
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	ocr-invoice	9/9	18.3	1283	128	75.0	0	stop	34.13	100	262144	
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	embedded-ui	6/6	3.1	801	169	76.6	0	stop	34.13	100	262144	
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	expenses-treemap	10/10	9.5	4286	134	77.9	0	stop	34.13	100	262144	
tiel-coder:35b-q5-ctx256k-agentic	ocr-invoice	9/9	18.8	1283	128	109.6	0	stop	34.13	100	262144	
tiel-coder:35b-q5-ctx256k-agentic	embedded-ui	6/6	2.6	801	195	112.3	0	stop	34.13	100	262144	
tiel-coder:35b-q5-ctx256k-agentic	expenses-treemap	10/10	9.0	4286	147	109.5	0	stop	34.13	100	262144	
qwen3.6:35b-a3b-q4_K_M-agentic	ocr-invoice	9/9	13.0	1105	128	128.9	0	stop	32.68	100	262144	
qwen3.6:35b-a3b-q4_K_M-agentic	embedded-ui	6/6	3.2	623	325	132.2	0	stop	32.68	100	262144	
qwen3.6:35b-a3b-q4_K_M-agentic	expenses-treemap	10/10	10.1	4108	375	128.2	0	stop	32.68	100	262144	
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	ocr-invoice	9/9	25.2	308	138	113.5	0	stop	22.34	100	262144	
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	embedded-ui	6/6	4.9	291	169	118.1	0	stop	22.34	100	262144	
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	expenses-treemap	10/10	5.2	304	190	118.0	0	stop	22.34	100	262144	
qwen3.8:27b-q4_K_M-ctx128k-agentic	ocr-invoice	9/9	16.8	1105	141	30.4	0	stop	26.24	100	131072	
qwen3.8:27b-q4_K_M-ctx128k-agentic	embedded-ui	6/6	14.2	623	387	30.5	0	stop	26.24	100	131072	
qwen3.8:27b-q4_K_M-ctx128k-agentic	expenses-treemap	10/10	25.8	4108	454	30.1	0	stop	26.24	100	131072	
cyber-tiel:35b-q5-ctx256k-agentic	ocr-invoice	9/9	16.2	1284	128	107.9	0	stop	34.13	100	262144	
cyber-tiel:35b-q5-ctx256k-agentic	embedded-ui	6/6	1.9	802	110	111.6	0	stop	34.13	100	262144	
cyber-tiel:35b-q5-ctx256k-agentic	expenses-treemap	10/10	9.1	4287	145	109.9	0	stop	34.13	100	262144	
