model	num_ctx	sent_tok_est	regime	prompt_eval	detail
ornith:35b-ctx256k-agentic	262144	275251	OTHER	224357	prompt_eval 224357, done=stop
ornith:35b-ctx256k-agentic	262144	275250	HALVED	131074	prompt_eval 131074 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
north-mini-code-1.0:q4_K_M-ctx256k-agentic	262144	275251	HALVED	131075	prompt_eval 131075 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	262144	274681	ERROR_400	 	2x2 check: refuses with AND without explicit options.num_ctx
ornith:35b-ctx256k-agentic	262144	274681	HALVED	131074	2x2 check: halves with AND without explicit options.num_ctx
qwen3.6:35b-a3b-q4_K_M-agentic	262144	275250	HALVED	131074	prompt_eval 131074 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
north-mini-code-1.0:q4_K_M-ctx256k-agentic	262144	275251	HALVED	131075	prompt_eval 131075 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	262144	275250	HALVED	131075	prompt_eval 131075 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
ornith:35b-ctx256k-agentic	262144	275250	HALVED	131074	prompt_eval 131074 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
nemotron-3.5-lightning:30b-ctx256k-agentic	262144	275251	HALVED	131074	prompt_eval 131074 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
nemotron-cascade-2:30b-ctx256k-agentic	262144	275250	HALVED	131074	prompt_eval 131074 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
qwen3.8:27b-q4_K_M-ctx128k-agentic	131072	137625	HALVED	65538	prompt_eval 65538 ~= num_ctx/2 (65536) -- the v1-v3 silent bug
tiel-coder:35b-q5-ctx256k-agentic	262144	275250	ERROR_400		{"error":"{\"error\":{\"code\":400,\"message\":\"request (274681 tokens) exceeds the available context size (262144 tokens), try increasing
cyber-tiel:35b-q5-ctx256k-agentic	262144	275250	ERROR_400		{"error":"{\"error\":{\"code\":400,\"message\":\"request (274682 tokens) exceeds the available context size (262144 tokens), try increasing
kat-coder-v2.5:q5km-ctx256k-agentic	262144	275250	HALVED	131074	prompt_eval 131074 ~= num_ctx/2 (131072) -- the v1-v3 silent bug
