run_id	model	arm	task	trial	resolved	failure_mode	in_tok	out_tok	agent_sec
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	git-multibranch	git-multibranch.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	False	agent_timeout	n/a	n/a	495.342772
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	fix-git	fix-git.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	True	unset	n/a	n/a	30.645426
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	modernize-fortran-build	modernize-fortran-build.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	True	unset	n/a	n/a	42.713383
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	polyglot-c-py	polyglot-c-py.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	False	agent_timeout	n/a	n/a	660.227839
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	csv-to-parquet	csv-to-parquet.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	True	unset	n/a	n/a	56.22842
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	openssl-selfsigned-cert	openssl-selfsigned-cert.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	False	unset	n/a	n/a	35.301526
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	fix-permissions	fix-permissions.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	True	unset	n/a	n/a	23.513459
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	fibonacci-server	fibonacci-server.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	True	unset	n/a	n/a	36.349953
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	nginx-request-logging	nginx-request-logging.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	False	unset	n/a	n/a	44.743213
byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	byteshape-qwen3.6-35b_q4ks-ctx256k-agentic	thinkon	oom	oom.1-of-1.byteshape-qwen3.6-35b_q4ks-ctx256k-agentic-thinkon-n1-113928	False	unset	n/a	n/a	60.508606
